"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.126565875E0,-3.498874444E-1,1.191350016E0,9.394282848E-1,1.557004042E0
1.136517875E0,-4.824660426E-1,1.178877613E-1,3.101997605E-1,5.855722825E-1
1.146468875E0,7.321708024E-2,1.003668720E-1,1.228646189E-1,1.747282587E-1
1.156419875E0,1.268442923E0,2.256051680E-1,3.114648056E-1,1.325464246E0
1.166371875E0,2.381469194E0,1.702489927E-1,7.747282997E-1,2.510096448E0
1.176322875E0,3.054773152E0,6.671760768E-2,1.579537893E0,3.439626463E0
1.186274875E0,2.396721656E0,-3.555665526E-1,1.704005233E0,2.962150588E0
1.196225875E0,1.672993648E-1,-3.733853576E-1,8.825088564E-1,9.727423010E-1
1.206177875E0,-1.555651724E-1,3.947139537E-1,3.024238408E-2,4.253401344E-1
1.216128875E0,5.926199841E-1,-1.817080736E-1,-1.158391893E0,1.313806701E0
1.226079875E0,2.493632823E-1,6.562485078E-1,-9.886282191E-1,1.212530373E0
1.236031875E0,-4.514775538E-1,2.714575714E-1,-9.443343911E-1,1.081336505E0
1.245982875E0,-1.265949671E0,4.402193248E-2,3.017660290E-2,1.267074239E0
1.255934875E0,-7.995669794E-1,2.741522607E-1,4.856749946E-1,9.748574342E-1
1.265885875E0,1.172553849E-1,-5.917727226E-1,7.072175172E-1,9.295700066E-1
1.275837875E0,-1.200373147E0,-1.769104332E-2,5.102540579E-1,1.304441593E0
1.285788875E0,-1.031979184E0,1.344160273E0,6.167587522E-1,1.803368857E0
1.295739875E0,-1.401958830E0,6.338650739E-1,1.266068369E-1,1.543794930E0
1.305691875E0,-3.347490031E0,4.593990692E-1,-7.430717665E-1,3.459608744E0
1.315642875E0,-5.345001224E0,1.132050479E0,-1.146307160E0,5.582525994E0
1.325594875E0,-6.962988945E0,2.327248694E0,-7.545513126E-1,7.380287881E0
1.335545875E0,-4.679369397E0,2.222270123E0,7.804328433E-1,5.238707653E0
1.345497875E0,-1.674299916E0,2.197620454E-1,2.496834466E0,3.014259099E0
1.355448875E0,4.388504916E-1,-4.760503314E-1,3.397564124E0,3.458707222E0
1.365399875E0,2.819584690E0,-2.431305890E-1,2.825956109E0,3.999399735E0
1.375351875E0,4.661882129E0,-2.567994788E-2,1.911014794E0,5.038430508E0
1.385302875E0,5.698570660E0,6.758080289E-2,9.749942663E-1,5.781772094E0
1.395254875E0,6.124385954E0,-3.161077872E-2,-4.195994112E-1,6.138824498E0
1.405205875E0,6.001153545E0,-4.066200542E-1,-2.363634309E0,6.462658190E0
1.415157875E0,4.451890488E0,-9.346169034E-1,-3.235256527E0,5.582089436E0
1.425108875E0,3.556112253E0,-8.739706059E-1,-2.594790823E0,4.488061764E0
1.435059875E0,4.066502259E0,-7.194019452E-1,-2.097163243E0,4.631638311E0
1.445011875E0,5.251765616E0,-4.780600195E-1,-1.806416584E0,5.574291376E0
1.454962875E0,6.267494802E0,-2.932574531E-1,-8.757833889E-1,6.335178575E0
1.464914875E0,6.110348543E0,-2.842849007E-1,-2.816144773E-1,6.123437265E0
1.474865875E0,5.296503248E0,3.240790039E-1,-6.978146097E-1,5.352094831E0
1.484817875E0,2.966442189E0,3.545386121E-1,-8.246629366E-1,3.099281505E0
1.494768875E0,-2.368484867E-1,-2.250888589E-1,-6.999884583E-1,7.724933927E-1
1.504719875E0,-3.035800107E0,-4.210828498E-1,-1.590885584E-1,3.068990425E0
1.514671875E0,-4.809717867E0,-4.561866090E-1,6.106560132E-1,4.869742596E0
1.524622875E0,-5.273534215E0,1.624841827E-1,1.398848989E0,5.458327832E0
1.534574875E0,-5.169908105E0,9.832353321E-1,1.382782448E0,5.441212074E0
1.544525875E0,-3.956365274E0,9.528233787E-1,1.248520875E0,4.256700947E0
1.554477875E0,-2.964094532E0,-3.038371128E-1,1.052246364E0,3.159967689E0
1.564428875E0,-2.142202883E0,-9.503280795E-1,1.223990344E0,2.643919252E0
1.574379875E0,-1.172317037E0,-1.172447430E0,1.091419931E0,1.984983042E0
1.584331875E0,-6.104230016E-1,-1.074682277E0,1.276888057E0,1.777076629E0
1.594282875E0,-5.857506752E-2,-9.355805245E-1,1.636116721E0,1.885635140E0
1.604234875E0,7.037644440E-1,-6.570068917E-1,1.606031481E0,1.872506226E0
1.614185875E0,1.604590580E0,-5.861570567E-1,1.072112718E0,2.016858127E0
1.624137875E0,2.099741573E0,-1.066705505E0,3.508422947E-1,2.381147963E0
1.634088875E0,2.250497410E0,-1.608759938E0,2.497390536E0,3.726903087E0
1.644039875E0,2.053908173E0,-1.457785122E0,1.421047651E0,2.891894305E0
1.653991875E0,1.332386904E0,-9.669546372E-1,-9.616447806E-1,1.906572007E0
1.663942875E0,6.401935154E-1,-1.447185874E-2,-2.217990107E0,2.308579062E0
1.673894875E0,1.223036370E0,9.315854144E-1,-2.000735786E0,2.523214821E0
1.683845875E0,1.900869582E0,1.147440643E0,-8.857762805E-1,2.390507230E0
1.693797875E0,2.035604049E0,1.301130028E0,-8.550953552E-2,2.417423231E0
1.703748875E0,2.013705057E0,1.222620049E0,2.141157694E0,3.183451603E0
1.713699875E0,1.829745805E0,1.134332355E0,1.876563292E0,2.855900802E0
1.723651875E0,1.727946950E0,9.597204620E-1,7.509508896E-1,2.114424571E0
1.733602875E0,1.528987836E0,4.340148443E-1,-1.476807868E-1,1.596240052E0
1.743554875E0,1.274207109E0,-4.433680505E-1,-5.902580014E-1,1.472611114E0
1.753505875E0,7.884093225E-1,-1.367557322E0,-6.737989256E-1,1.716335422E0
1.763457625E0,1.576339173E-1,-2.024392013E0,-1.419423148E0,2.477453036E0
1.773409625E0,-3.195953590E-1,-2.599234123E0,-1.781854770E0,3.167517267E0
1.783360625E0,-7.187906188E-1,-3.281189037E0,-1.590194589E0,3.716393451E0
1.793312625E0,-1.026110918E0,-3.586614254E0,-8.715064430E-1,3.830956656E0
1.803263625E0,-1.360390974E0,-2.928275658E0,-2.989418238E-2,3.228986776E0
1.813215625E0,-1.004490838E0,-2.424160300E0,-4.794284141E-1,2.667471951E0
1.823166625E0,-4.492713994E-1,-2.102849953E0,-5.896462364E-1,2.229687287E0
1.833117625E0,-3.028682292E-2,-1.897676418E0,-6.801574802E-1,2.016111921E0
1.843069625E0,6.102738976E-2,-1.839891894E0,-7.578098197E-1,1.990779306E0
1.853020625E0,-1.333802515E-1,-2.097943554E0,-6.782966039E-1,2.208901023E0
1.862972625E0,-3.900215632E-1,-2.220716956E0,-5.558480144E-2,2.255391383E0
1.872923625E0,-2.492726505E-2,-5.963826674E-1,1.379969791E0,1.503532600E0
1.882875625E0,1.062860084E-1,5.829422575E-1,2.173239173E0,2.252573394E0
1.892826625E0,-5.682464504E-1,-4.615967453E-1,3.766331935E-1,8.233031921E-1
1.902777625E0,-9.346914554E-1,-8.160385859E-1,-7.599544322E-1,1.455025027E0
1.912729625E0,-8.773916656E-1,-4.530422688E-1,-1.705437363E0,1.970680093E0
1.922680625E0,-6.219730067E-1,-1.813899851E-1,-2.192735983E0,2.286447865E0
1.932632625E0,-5.557948047E-1,3.561188221E-2,-2.186739371E0,2.256547174E0
1.942583625E0,-4.651471746E-1,3.976451629E-1,-2.361030690E0,2.439046840E0
1.952534625E0,-1.255794811E-1,9.600362116E-1,-1.916308863E0,2.147016393E0
1.962486625E0,3.031108886E-1,1.773812510E0,-1.067275901E0,2.092215304E0
1.972437625E0,6.079063600E-1,2.225985882E0,-1.088005304E0,2.551140692E0
1.982389625E0,9.049723971E-1,1.820339389E0,-1.167220019E0,2.344144429E0
1.992340625E0,9.607875788E-1,2.123994069E0,-1.668052751E0,2.866507205E0
2.002292625E0,1.342776822E0,2.340268543E0,-1.142763382E0,2.930156070E0
2.012243625E0,1.634618372E0,1.922093806E0,8.367425533E-1,2.658300194E0
2.022194625E0,1.514376814E0,1.378509741E0,2.337298157E0,3.107505256E0
2.032146625E0,9.548450536E-1,1.266913877E0,1.368627362E0,2.095218534E0
2.042097625E0,4.055649242E-1,1.406371724E0,1.167492719E0,1.872272304E0
2.052049625E0,7.435114771E-2,1.613941448E0,1.293184247E0,2.069459008E0
2.062000625E0,1.303052008E-2,1.917897259E0,1.088515546E0,2.205304012E0
2.071951625E0,1.541080463E-1,1.926145341E0,8.903731421E-1,2.127568917E0
2.081903625E0,3.543137866E-1,1.609197017E0,5.798157513E-1,1.746779781E0
2.091854625E0,5.957038057E-1,9.370478833E-1,1.218951579E0,1.648867706E0
2.101806625E0,5.604617599E-1,7.933999211E-1,1.901046753E-2,9.715771801E-1
2.111757625E0,6.750101763E-1,7.438418448E-1,-1.445655073E0,1.760357355E0
2.121709625E0,3.331047660E-1,-2.413502580E-1,-2.045274028E0,2.086229753E0
2.131660625E0,-2.311842889E-2,-1.209525794E0,-1.895264149E0,2.248446864E0
2.141611625E0,-5.100225082E-1,-2.228674432E0,-1.102772008E0,2.538349618E0
2.151563625E0,-9.792326206E-1,-3.395781600E0,-1.580937278E-1,3.537686084E0
2.161514625E0,-1.372254390E0,-4.637053682E0,4.520096505E-1,4.856918949E0
