"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.212250500E0,-2.802237756E0,5.302225918E-1,7.854567710E-1,2.958143806E0
1.222201500E0,-3.044893697E0,4.643022519E-1,8.100758877E-1,3.184835498E0
1.232152500E0,-3.209341082E0,3.952706087E-1,8.096104494E-1,3.333403383E0
1.242103500E0,-3.340319005E0,4.153581333E-1,8.217793822E-1,3.464906173E0
1.252055500E0,-3.410172767E0,5.567917550E-1,8.140704131E-1,3.549930421E0
1.262006500E0,-3.528747869E0,6.436854726E-1,8.376884866E-1,3.683492162E0
1.271957500E0,-3.724171171E0,6.415886611E-1,7.697356546E-1,3.856628048E0
1.281909500E0,-3.893374974E0,6.963004732E-1,7.616147491E-1,4.027810828E0
1.291860500E0,-4.072970449E0,7.401288629E-1,7.652075708E-1,4.209800665E0
1.301811500E0,-4.188432493E0,7.744678062E-1,7.814841726E-1,4.330529372E0
1.311763500E0,-4.274864280E0,8.270418763E-1,8.288264465E-1,4.432314989E0
1.321714500E0,-4.407516553E0,7.680884939E-1,8.435126057E-1,4.552765711E0
1.331665500E0,-4.581806849E0,6.591396636E-1,7.673491135E-1,4.692147031E0
1.341616500E0,-4.843093189E0,4.890125853E-1,6.897781965E-1,4.916348127E0
1.351568500E0,-5.048671936E0,2.018762898E-1,4.531747082E-1,5.072988238E0
1.361519500E0,-5.077689328E0,5.845987737E-2,3.739317799E-1,5.091774882E0
1.371470500E0,-4.991400797E0,-1.603715837E-2,3.371902156E-1,5.002802850E0
1.381422500E0,-4.940811857E0,-9.389692783E-2,2.323698118E-1,4.947164255E0
1.391373500E0,-4.978690120E0,-1.962068295E-1,1.996835840E-1,4.986554518E0
1.401324500E0,-4.995408479E0,-2.523377609E-1,3.636453581E-1,5.014979378E0
1.411276500E0,-5.004086916E0,-2.122007185E-1,6.979394478E-1,5.056978790E0
1.421227500E0,-5.015449811E0,-1.115414858E-2,1.179036365E0,5.152182835E0
1.431178500E0,-5.050428439E0,3.070823175E-1,1.811299594E0,5.374191399E0
1.441129500E0,-5.021240308E0,7.400698060E-1,2.344458073E0,5.590799693E0
1.451081500E0,-4.903781733E0,1.140439187E0,2.692038498E0,5.709181035E0
1.461032500E0,-4.844783911E0,1.353201238E0,2.780027692E0,5.747315783E0
1.470983500E0,-4.759911869E0,1.412220694E0,2.681174372E0,5.642678823E0
1.480935500E0,-4.543353220E0,1.310303725E0,2.458519416E0,5.329472024E0
1.490886500E0,-4.215280860E0,1.161793218E0,2.165176301E0,4.879174585E0
