"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.514505417E0,-1.629267000E0,2.869174342E0,-1.125944378E0,3.486319420E0
1.524457417E0,-1.618444096E0,3.545865008E0,-1.651861811E0,4.233339980E0
1.534408417E0,-1.811679955E0,4.096540575E0,-1.750267088E0,4.809081391E0
1.544360417E0,-2.170335592E0,4.717642347E0,-1.413710418E0,5.381921872E0
1.554311417E0,-2.832207952E0,5.021744923E0,-1.290541159E0,5.908030166E0
1.564262417E0,-3.845927158E0,5.911836741E0,2.387783602E-1,7.056768698E0
1.574214417E0,-4.928436225E0,7.697334327E0,2.672543589E0,9.522653443E0
1.584165417E0,-6.433800725E0,8.724176731E0,3.651859825E0,1.143858084E1
1.594116417E0,-8.398825958E0,8.416355326E0,3.320286444E0,1.234502396E1
1.604068417E0,-1.032745052E1,6.548148290E0,1.977557570E0,1.238730052E1
1.614019417E0,-1.113939488E1,4.089965966E0,7.740438831E-1,1.189172334E1
1.623970417E0,-1.055277180E1,2.925726857E0,5.320966244E-2,1.095096807E1
1.633922417E0,-8.944244294E0,3.130720298E0,-9.975770903E-1,9.528697477E0
1.643873417E0,-8.169047924E0,2.823354975E0,-8.365658212E-1,8.683577585E0
1.653824417E0,-7.033483561E0,3.286936265E0,-4.083601856E-1,7.774355218E0
1.663776417E0,-4.712724254E0,4.312239098E0,-1.278224730E0,6.514524878E0
1.673727417E0,-2.539369744E0,4.587138340E0,-2.231815556E0,5.698353932E0
1.683678417E0,-7.970556003E-1,4.362582455E0,-1.918961306E0,4.832166781E0
1.693630417E0,6.775601470E-1,3.993076433E0,-1.000014210E-1,4.051388334E0
1.703581417E0,2.773061904E0,4.670941805E0,1.493680594E0,5.633706718E0
1.713532417E0,4.571329224E0,6.531358595E0,1.125067588E0,8.051178364E0
1.723484417E0,1.767327363E0,5.759305104E0,2.483787282E0,6.516305744E0
1.733435417E0,-2.032429011E0,3.836247677E0,3.664342461E0,5.681106371E0
1.743386417E0,-6.217934387E0,1.310770333E0,2.737990304E0,6.919350968E0
1.753338417E0,-7.463406524E0,1.309916639E-1,-6.163316131E-1,7.489957304E0
1.763289417E0,-8.047980155E0,-7.433565259E-2,-3.180562549E0,8.653986855E0
1.773240417E0,-9.946202703E0,-4.785495776E-1,-2.548063384E0,1.027854975E1
1.783192417E0,-1.179029991E1,-1.385967280E0,-4.463624096E-1,1.187987023E1
1.793143417E0,-1.286067952E1,-2.184834933E0,-3.221400672E-1,1.304892162E1
1.803095417E0,-1.365887591E1,-2.640355836E0,-1.174001620E0,1.396118368E1
1.813046417E0,-1.372581717E1,-2.616665842E0,-1.619461219E0,1.406654371E1
1.822997417E0,-1.296462430E1,-1.894703693E0,-1.485496246E0,1.318628395E1
1.832949417E0,-9.882952201E0,-4.522534794E-1,-1.629925689E0,1.002666122E1
1.842900417E0,-7.079860168E0,3.783809263E-1,-1.195377359E0,7.190029148E0
1.852851417E0,-4.938441396E0,5.107151109E-1,-1.054813730E0,5.075595073E0
1.862803417E0,-3.275741771E0,1.328101480E-1,-1.236395504E0,3.503825984E0
1.872754417E0,-2.314019222E0,-4.375097251E-1,-1.210702838E0,2.647999449E0
1.882705417E0,-2.052321823E0,-9.150243455E-1,-1.169490493E0,2.533180300E0
1.892657417E0,-2.228314244E0,-9.825748891E-1,-1.496705943E0,2.858490242E0
1.902608417E0,-2.227916925E0,-1.870804954E-1,-1.625857489E0,2.764421370E0
1.912559417E0,-2.081266418E0,9.945078868E-1,-1.744410371E0,2.892003351E0
1.922511417E0,-1.857019266E0,1.870335422E0,-2.150941547E0,3.401944250E0
1.932462417E0,-1.431896282E0,2.322830392E0,-1.757533277E0,3.245734310E0
